N;build;search;ab_changes
0;0;0;0
10000;0.0257557;0.000259677;1
20000;0.0485065;0.000244561;1
30000;0.0742542;0.000249655;1
40000;0.102493;0.000259513;1
50000;0.124414;0.000250941;1
60000;0.14722;0.00024743;1
70000;0.176925;0.000254882;1
80000;0.202989;0.00025595;1
90000;0.232925;0.000261196;1
100000;0.26175;0.000264072;1
110000;0.287121;0.000263401;1
120000;0.307756;0.000258588;1
130000;0.331551;0.000257216;1
140000;0.357204;0.000257326;1
150000;0.400716;0.00026931;1
160000;0.438713;0.000276362;1
170000;0.44784;0.00026559;1
180000;0.474695;0.000265979;1
190000;0.501325;0.000266032;1
200000;0.526694;0.000265536;1
